SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
4.1,0,0.889999999999986,0.055192345,0.369999999999999,0,0.829999999999998,0,0.087823385,0.8984375,0.899999999999999,0.800000000000011,0,0,19.607843135,66,275
4.3,0,1.00999999999999,0.04410289,0.44,0,0.780000000000001,0,0.07622407,0.8671875,0.859999999999999,0.599999999999994,0,0,18.8235294096,67,276
4.3,0,0.960000000000008,0.05175079,0.289999999999999,0,0.239999999999998,0,0.073292375,0,0,-1.09999999999999,0,0,16.8627450961,68,277
4.5,0,1.13,0.046014865,-0.060000000000001,0,0.510000000000002,0,0.02931695,0.5,0.5,0,0,0,10.9803921556,69,278
4.5,0,1.04499999999999,0.04384796,-0.15,0,-0.059999999999999,0,0.022561305,-0.203125,-0.199999999999999,-0.900000000000006,0,0,10.9803921556,68,279
3.6,0,1.01499999999999,0.039131755,-0.120000000000001,0,0.510000000000002,0,0.03492541,0.5078125,0.510000000000002,0.300000000000011,0,0,10.9803921556,68,280
4,0,0.930000000000007,0.034543015,-0.029999999999999,0,0.899999999999999,0,0.0280423,0.8984375,0.899999999999999,0.599999999999994,0,0,9.8039215675,68,281
4.5,0,1.08000000000001,0.050093745,-0.17,0,1.31,0,0.012746500000001,1.3203125,1.32,1.5,0,0,7.843137254,67,282
5.7,0,1.58000000000001,0.063350105,0.07,0,1.42,0,0.079410695,1.4296875,1.43,1.59999999999999,0,0,17.6470588215,67,283
6.2,0,1.785,0.068448705,0.15,0,1.11,0,0.042445845,1.109375,1.11,0.300000000000011,0,0,13.7254901945,67,284
4.7,0,0.969999999999999,0.05124093,0.029999999999999,0,1.51,0,0.05965362,1.5078125,1.51,0.699999999999989,0,0,15.686274508,67,285
4.7,0,1.15000000000001,0.05430009,0.039999999999999,0,0.59,0,0.05251558,0.59375,0.59,0,0,0,13.7254901945,68,286
1.6,16,0.800000000000011,0.001402115,-0.1,0,-1.82,0,0.037602175,-1.8359375,-1.83,-2.40000000000001,0,0,12.9411764691,67,287
3.5,4,0.72999999999999,0.03263104,0.18,0,-0.359999999999999,0,0.08310718,-0.296875,-0.300000000000001,-1,0,0,18.8235294096,68,288
1.7,0,0.259999999999991,0.03416062,0.299999999999999,0,-1.18,0,0.08285225,-1.046875,-1.05,-1.30000000000001,0,0,19.607843135,69,289
1.1,8,-0.360000000000014,0.028424695,0.140000000000001,0,0.25,0,0.08540155,0.25,0.25,0.5,0,0,19.607843135,70,290
1.5,4,0.155000000000001,0.042955705,0.140000000000001,0,-0.899999999999999,0,0.054937415,-0.8046875,-0.800000000000001,-1.30000000000001,0,0,14.9019607826,70,291
3.1,4,0.300000000000011,0.05430009,-0.029999999999999,0,0.809999999999999,0,0.042700775,1.046875,1.05,0.800000000000011,0,0,11.764705881,70,292
2.7,0,0.194999999999993,0.048819095,-0.24,0,-0.079999999999998,0,0.013128895,-0.0859375,-0.09,0,0,0,8.6274509794,69,293
1.9,0,0.175000000000011,0.04945642,-0.31,0,0.120000000000001,0,0.023581025,0.1171875,0.109999999999999,0.099999999999994,0,0,9.8039215675,68,294
2.1,0,0.080000000000013,0.050986,-0.17,0,-0.329999999999998,0,0.019502145,-0.2578125,-0.25,0.199999999999989,0,0,10.9803921556,67,295
3.8,0,0.664999999999992,0.06296771,-0.220000000000001,0,0.469999999999999,0,0.044740215,0.5390625,0.539999999999999,0.199999999999989,0,0,11.764705881,66,296
3.7,0,0.430000000000007,0.056721925,0.049999999999999,0,0.460000000000001,0,0.057231785,0.671875,0.670000000000002,-0.099999999999994,0,0,14.9019607826,66,297
3.5,0,0.455000000000013,0.06169306,0.369999999999999,0,0.109999999999999,0,0.084636760000001,0.0859375,0.09,0.300000000000011,0,0,20.7843137231,67,298
1.9,4,-0.189999999999998,0.03212118,0.209999999999999,0,0.719999999999999,0,0.08361704,0.703125,0.699999999999999,0.599999999999994,0,0,18.8235294096,68,299
1.9,0,0.064999999999998,0.043465565,0.02,0,-0.100000000000001,0,0.05277051,-0.1015625,-0.100000000000001,-0.099999999999994,0,0,13.7254901945,68,300
1.9,0,0.099999999999994,0.044485285,-0.19,0,0.07,0,0.031228925,0.078125,0.07,0,1,0,10.9803921556,68,301
1.7,0,-0.014999999999986,0.04231838,-0.470000000000001,0,0.649999999999999,0,-0.028679625,0.5078125,0.510000000000002,0.300000000000011,1,0,2.7450980389,66,302
1.9,0,0.10499999999999,0.050603605,-0.49,0,0,0,0.00229437,-0.0546875,-0.059999999999999,0,1,0,5.8823529405,64,303
