SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
2.8,0,0.074999999999989,0.071252935,-0.060000000000001,0,0.219999999999999,0,0.033523295,0.4296875,0.43,-0.099999999999994,0,0,13.7254901945,97,667
2.7,0,-0.025000000000006,0.06347757,-0.380000000000001,0,-0.300000000000001,0,0.0101972,0.1328125,0.129999999999999,-0.099999999999994,0,0,12.9411764691,97,668
3.5,0,0.435000000000002,0.045505005,0.17,0,1.06,0,0.053280370000001,1.1953125,1.19,1,0,0,17.6470588215,97,669
3.4,0,0.300000000000011,0.069978285,0.24,0,0.219999999999999,0,0.06449729,0.1875,0.18,0.199999999999989,0,0,22.7450980366,97,670
5.9,0,1.44499999999999,0.1070706,0.18,0,1.31,0,0.065644475,1.3125,1.31,0.599999999999994,1,0,21.9607843112,98,671
3.7,0,0.469999999999999,0.06245785,0.049999999999999,0,-0.559999999999999,0,0.01580566,-0.5625,-0.559999999999999,-0.099999999999994,1,0,13.7254901945,99,672
3.3,0,0.224999999999994,0.05226065,-0.24,0,-0.600000000000001,0,-0.000637325,-0.6015625,-0.600000000000001,-0.300000000000011,0,0,3.921568627,98,673
0.6,0,-0.685000000000002,0.019502145,-0.75,0,-0.859999999999999,0,-0.03161132,-0.859375,-0.859999999999999,0.099999999999994,0,0,13.7254901945,96,674
1.4,0,-0.27000000000001,0.02676765,-0.23,0,0.260000000000002,0,0.00535353,0.2890625,0.289999999999999,0.199999999999989,0,0,9.8039215675,95,675
1.4,0,-0.039999999999992,0.02855216,0,0,-0.260000000000002,0,0.034797945,-0.2578125,-0.25,0.099999999999994,0,0,14.9019607826,95,676
2.7,0,0.219999999999999,0.031993715,0.09,0,-0.109999999999999,0,0.02982681,-0.125,-0.120000000000001,-0.900000000000006,0,0,12.9411764691,95,677
0.7,4,-0.60499999999999,0.005480995,-0.01,0,0.010000000000002,0,0.0407888,0.0078125,0.010000000000002,0.400000000000006,0,0,16.8627450961,96,678
2.5,0,0.300000000000011,0.049074025,0.48,0,0.57,0,0.085274085,0.578125,0.57,0.300000000000011,0,0,26.6666666636,97,679
3.3,0,0.439999999999998,0.061820525,0.26,0,0.370000000000001,0,0.075841675,0.3671875,0.370000000000001,-0.400000000000006,0,0,24.7058823501,98,680
2.1,0,0.164999999999992,0.04206345,0.129999999999999,0,0.09,0,0.05506488,0.09375,0.09,0.5,0,0,21.9607843112,99,681
2.3,0,0.22999999999999,0.032248645,-0.02,0,0.32,0,0.065644475,0.3203125,0.32,0,0,0,23.9215686247,99,682
1.7,0,-0.205000000000012,0.022051445,-0.08,0,-0.300000000000001,0,0.03925922,-0.3046875,-0.300000000000001,-0.199999999999989,0,0,17.6470588215,99,683
2.9,0,0.224999999999994,0.04894656,0.26,0,0.719999999999999,0,0.06781138,0.7265625,0.719999999999999,0.300000000000011,0,0,24.7058823501,100,684
2.8,0,0.235000000000014,0.043465565,-0.040000000000001,0,0.68,0,0.02421835,0.671875,0.670000000000002,0.300000000000011,0,0,15.686274508,100,685
3.5,0,0.465000000000003,0.05965362,0.17,0,1.26,0,0.063095175,1.2578125,1.26,0.800000000000011,0,0,23.9215686247,101,686
3.1,0,0.384999999999991,0.059143760000001,0.27,0,-0.550000000000001,0,0.075331815,-0.4765625,-0.48,-1,0,0,28.6274509771,102,687
1.1,0,-0.125,0.03467048,0.25,0,-1.13,0,0.05277051,-1.2890625,-1.29,-1.30000000000001,0,0,23.9215686247,102,688
1.6,0,-0.069999999999993,0.043720495,-0.07,0,0.489999999999998,0,0.0331409,0.484375,0.48,0.400000000000006,0,0,17.6470588215,103,689
2.1,0,0.159999999999997,0.053280370000001,-0.029999999999999,0,0.600000000000001,0,0.049074025,0.6015625,0.600000000000001,0.099999999999994,0,0,23.9215686247,103,690
2.7,0,0.319999999999993,0.058761365,0.23,0,0.82,0,0.07316491,0.828125,0.829999999999998,0.599999999999994,0,0,24.7058823501,103,691
2.9,0,0.344999999999999,0.052897975,0.129999999999999,0,0.460000000000001,0,0.068958565,0.4765625,0.48,0.099999999999994,0,0,24.7058823501,104,692
2.1,0,0.14500000000001,0.046779655,-0.15,0,0.449999999999999,0,0.02931695,0.46875,0.469999999999999,0.099999999999994,0,0,16.8627450961,104,693
2.5,0,0.094999999999999,0.04257331,0.27,0,0.920000000000002,0,0.070488145,0.8984375,0.899999999999999,0.5,0,0,27.8431372517,104,694
3.2,0,0.25,0.06500715,0.379999999999999,0,1.08,0,0.064114895,1.0078125,1.01,0.300000000000011,0,0,27.8431372517,105,695
1.5,4,0.189999999999998,0.04410289,-0.130000000000001,0,-0.969999999999999,0,0.03390569,-0.8984375,-0.899999999999999,-0.400000000000006,0,0,18.8235294096,106,696
2.9,0,0.060000000000002,0.04486768,-0.41,0,0.93,0,0.006755645,0.890625,0.890000000000001,0.300000000000011,0,0,11.764705881,105,697
3.1,0,0.284999999999997,0.04639726,-0.370000000000001,0,0.600000000000001,0,0.00433381,0.59375,0.59,0,0,0,9.8039215675,104,698
3.1,0,0.310000000000002,0.05939869,-0.060000000000001,0,0.120000000000001,0,0.05124093,0.09375,0.09,0,0,0,27.8431372517,103,699
1.1,0,-0.310000000000002,0.02651272,-0.02,0,-0.469999999999999,0,0.047544445,-0.4765625,-0.48,-0.199999999999989,0,0,24.7058823501,103,700
1.3,0,-0.240000000000009,0.03670992,0.199999999999999,0,-1.23,0,0.062330385,-1.2265625,-1.23,-0.900000000000006,0,0,25.8823529382,104,701
1.5,0,-0.110000000000014,0.029189485,0.209999999999999,0,-0.370000000000001,0,0.06449729,-0.375,-0.370000000000001,-0.199999999999989,0,0,24.7058823501,105,702
-2.3,0,-2.005,-0.050093745,0.44,0,-2.06,0,0.08310718,-2.0625,-2.06,-2.59999999999999,0,0,31.7647058787,106,703
0.5,0,-0.514999999999986,0.007775365,0.449999999999999,0,-1.37,0,0.081705065,-1.3671875,-1.37,-1.09999999999999,0,1,30.9803921533,107,704
2,0,-0.134999999999991,0.046014865,0.720000000000001,0,0.699999999999999,0,0.095471285,0.703125,0.699999999999999,0.5,0,0,34.9019607803,109,705
3.4,0,0.284999999999997,0.07265505,0.57,0,0.440000000000001,0,0.08310718,0.4453125,0.449999999999999,-0.099999999999994,0,0,33.7254901922,111,706
3.5,0,0.460000000000008,0.067428985,0.15,0,0.66,0,0.05226065,0.671875,0.670000000000002,0.599999999999994,0,0,25.8823529382,111,707
-1,0,-1.595,-0.01759017,0.029999999999999,0,-1.17,0,0.0611832,-1.171875,-1.17,-0.699999999999989,0,0,26.6666666636,112,708
0.1,4,-0.740000000000009,0.008030295,-0.120000000000001,0,-1.52,0,0.032248645,-1.5234375,-1.52,-1.5,0,0,22.7450980366,112,709
1.7,4,0.034999999999997,0.04945642,-0.1,0,-1.84,0,0.015423265,-1.84375,-1.84,0.400000000000006,0,0,15.686274508,112,710
3.7,0,0.990000000000009,0.077626185,-0.32,0,-1.05,0,0.0101972,-1.0234375,-1.03,3.19999999999999,0,0,13.7254901945,111,711
-0.2,12,-0.175000000000011,0.0229437,-0.34,0,-1.98,0,0.001911975,-2.03125,-2.03,-2.09999999999999,0,0,12.9411764691,109,712
1.5,0,-0.235000000000014,0.03008174,-0.450000000000001,0,-0.809999999999999,0,-0.00229437,-0.765625,-0.77,0,0,0,11.764705881,109,713
0.8,0,-0.574999999999989,0.018737355,-0.34,0,-0.32,0,-0.034543015,-0.34375,-0.34,0.099999999999994,0,0,9.8039215675,107,714
1.9,0,-0.224999999999994,0.013893685,-0.140000000000001,0,-0.219999999999999,0,0.035562735,-0.203125,-0.199999999999999,-0.300000000000011,0,0,17.6470588215,106,715
1.5,0,0.194999999999993,0.055192345,0.109999999999999,0,-0.719999999999999,0,0.049074025,-0.890625,-0.890000000000001,-1.30000000000001,0,0,24.7058823501,106,716
0,4,-1.11000000000001,-0.031483855,0.109999999999999,0,-0.539999999999999,0,0.05557474,-0.5,-0.5,0,0,0,25.8823529382,106,717
2.3,4,-0.044999999999988,0.01580566,0.209999999999999,0,0.670000000000002,0,0.044485285,0.71875,0.710000000000001,0.599999999999994,0,0,25.8823529382,107,718
2.8,0,0.030000000000001,0.036072595,0.16,0,-0.039999999999999,0,0.06679166,-0.0390625,-0.039999999999999,-0.199999999999989,0,0,29.8039215652,107,719
2.1,0,-0.120000000000005,0.0433381,0.5,0,-0.390000000000001,0,0.08106774,-0.390625,-0.390000000000001,-0.099999999999994,0,0,31.7647058787,108,720
0,0,-0.780000000000001,-0.012873965,0.539999999999999,0,-1.23,0,0.063732500000001,-1.2421875,-1.24,-1,0,0,29.8039215652,110,721
0.3,0,-0.319999999999993,0.005990855,0.359999999999999,0,-0.109999999999999,0,0.081705065,-0.2578125,-0.260000000000002,1,0,0,30.9803921533,111,722
2.1,0,-0.004999999999995,0.04741698,0.029999999999999,0,0.09,0,0.050986,0.09375,0.100000000000001,0.199999999999989,0,0,26.6666666636,111,723
2.1,0,-0.080000000000013,0.04945642,0.289999999999999,0,-0.399999999999999,0,0.07189026,-0.3359375,-0.329999999999998,-0.699999999999989,0,0,29.8039215652,112,724
2.9,0,0.094999999999999,0.05200572,0.1,0,0.52,0,0.04894656,0.4921875,0.489999999999998,0.099999999999994,0,0,26.6666666636,113,725
2.8,0,0.205000000000012,0.04920149,0.18,0,0.07,0,0.07163533,0.15625,0.149999999999999,0.400000000000006,0,0,30.9803921533,114,726
3,0,0.074999999999989,0.05710432,0.199999999999999,0,0.629999999999999,0,0.05277051,0.5859375,0.59,0.199999999999989,0,0,30.9803921533,115,727
3.3,0,0.120000000000005,0.063350105,-0.01,0,-0.300000000000001,0,0.039131755,-0.3125,-0.309999999999999,-0.599999999999994,0,0,28.6274509771,115,728
3.5,0,0.375,0.062840245,0.199999999999999,0,0.609999999999999,0,0.04971135,0.640625,0.640000000000001,0.099999999999994,0,0,28.6274509771,116,729
3.8,0,0.439999999999998,0.070488145,-0.01,0,0.41,0,0.054682485,0.40625,0.41,-0.300000000000011,0,0,28.6274509771,116,730
3.7,0,0.280000000000001,0.06016348,-0.07,0,-0.489999999999998,0,0.04665219,-0.1328125,-0.129999999999999,-0.800000000000011,0,0,28.6274509771,117,731
2,0,-0.189999999999998,0.044995145,0.119999999999999,0,-0.359999999999999,0,0.052643045,-0.4296875,-0.43,-0.099999999999994,0,0,26.6666666636,117,732
2.1,0,0.099999999999994,0.03900429,-0.060000000000001,0,0.079999999999998,0,0.054682485,0.1171875,0.120000000000001,0,0,0,29.8039215652,118,733
2.9,0,0.205000000000012,0.059143760000001,0.199999999999999,0,0.440000000000001,0,0.048819095,0.4609375,0.460000000000001,-0.199999999999989,0,0,29.8039215652,118,734
3.4,0,0.159999999999997,0.053662765,0.27,0,0.120000000000001,0,0.02982681,0.1015625,0.100000000000001,-0.800000000000011,0,0,24.7058823501,119,735
3.4,0,0.365000000000009,0.06704659,0.49,0,0.52,0,0.048309235,0.3984375,0.399999999999999,1,0,0,28.6274509771,119,736
3.2,0,0.050000000000011,0.058506435,-0.040000000000001,0,-0.579999999999998,0,0.03467048,-0.40625,-0.41,-0.599999999999994,0,0,23.9215686247,120,737
3.1,0,0.314999999999998,0.04945642,0.459999999999999,0,0.640000000000001,0,0.03033667,0.640625,0.640000000000001,0.099999999999994,0,0,26.6666666636,120,738
3.1,0,0.10499999999999,0.04690712,-0.040000000000001,0,0.27,0,0.02243384,-0.1015625,-0.100000000000001,-0.099999999999994,0,0,19.607843135,120,739
3.3,0,0.349999999999994,0.05124093,0.220000000000001,0,0.039999999999999,0,0.02982681,0.0390625,0.039999999999999,-0.300000000000011,0,0,22.7450980366,121,740
3.5,0,0.284999999999997,0.043465565,0.16,0,0.010000000000002,0,0.00637325,0.015625,0.02,0.199999999999989,0,0,19.607843135,121,741
2.4,0,-0.039999999999992,0.04384796,0.4,0,0.23,0,0.01886482,0.2265625,0.23,0.300000000000011,0,0,23.9215686247,121,742
2.7,0,0.240000000000009,0.05506488,0.31,0,0.5,0,0.01427608,0.5078125,0.510000000000002,0.300000000000011,0,0,19.607843135,122,743
3.1,0,0.25,0.05277051,0.41,0,-0.059999999999999,0,0.03670992,-0.0625,-0.059999999999999,0,0,0,23.9215686247,123,744
5.7,4,1.45500000000001,0.106433275,0.41,0,1.34,0,0.03747471,1.3359375,1.34,0.900000000000006,1,0,22.7450980366,124,745
3.1,0,0.235000000000014,0.065899405,0.549999999999999,0,-0.129999999999999,0,0.03976908,-0.21875,-0.219999999999999,0.300000000000011,1,0,24.7058823501,125,746
2.5,0,0.080000000000013,0.058506435,0.27,0,-0.129999999999999,0,0.01402115,-0.109375,-0.109999999999999,0.300000000000011,0,0,22.7450980366,126,747
1.3,4,-0.180000000000007,0.02396342,0.08,0,-1.9,0,0.026895115,-1.421875,-1.42,-1.59999999999999,0,0,26.6666666636,127,748
0.6,4,-0.189999999999998,0.028424695,0.279999999999999,0,-1.2,0,0.01172678,-1.53125,-1.53,-1.30000000000001,0,0,24.7058823501,128,749
2.3,0,0.215000000000003,0.021796515,0.039999999999999,0,0.219999999999999,0,0.025875395,0.2109375,0.210000000000001,0.099999999999994,0,0,23.9215686247,128,750
2.5,0,0.159999999999997,0.040661335,0.32,0,0.68,0,0.006500715,0.6953125,0.699999999999999,1,0,0,20.7843137231,129,751
2.7,0,0.169999999999988,0.0484367,-0.560000000000001,0,-0.460000000000001,0,-0.094706495,-0.53125,-0.530000000000001,-0.699999999999989,0,0,0,127,752
3.1,0,0.740000000000009,0.068448705,-0.58,0,-0.16,0,-0.065389545,-0.0390625,-0.039999999999999,-0.599999999999994,0,0,0,125,753
2.1,0,-0.050000000000011,0.045250075,-0.640000000000001,0,-0.760000000000002,0,-0.059271225,-0.796875,-0.800000000000001,-0.599999999999994,0,0,0,124,754
1.9,0,-0.10499999999999,0.02957188,-0.540000000000001,0,-0.579999999999998,0,-0.05455502,-0.6796875,-0.68,-0.900000000000006,0,0,0,122,755
1.7,0,0.164999999999992,0.042828240000001,-0.529999999999999,0,-0.460000000000001,0,-0.061820525,-0.46875,-0.460000000000001,-0.199999999999989,0,0,0,120,756
1.7,0,0.284999999999997,0.063859965,-0.51,0,-0.469999999999999,0,-0.06398743,-0.3671875,-0.370000000000001,0.099999999999994,0,0,0,118,757
1.7,0,0.080000000000013,0.035307805000001,-0.529999999999999,0,-0.5,0,-0.061310665,-0.40625,-0.41,-0.099999999999994,0,0,0,116,758
1.9,0,0.389999999999986,0.03161132,-0.550000000000001,0,-0.68,0,-0.058761365,-0.7265625,-0.73,-0.699999999999989,0,0,0,114,759
3,4,0.639999999999986,0.070743075,-0.59,0,0.390000000000001,8,-0.062585315,0.3984375,0.399999999999999,0.800000000000011,0,0,0,112,760
3.4,0,1.215,0.03925922,-0.450000000000001,0,0.07,0,-0.048691630000001,0.0546875,0.059999999999999,0,0,0,0,110,761
3.4,0,1.345,0.04410289,-1.88,0,0.239999999999998,0,-0.20215949,0.125,0.129999999999999,-0.099999999999994,0,0,0,104,762
2.9,0,1.02000000000001,0.04053387,-0.800000000000001,0,0.27,0,-0.06832124,0.328125,0.329999999999998,0.400000000000006,0,0,0,99,763
4.3,0,1.095,0.044230355,-0.41,0,0.789999999999999,0,-0.05073107,0.7421875,0.739999999999998,0.099999999999994,0,0,0,97,764
4.1,0,1.12,0.039386685,-0.57,0,-0.190000000000001,0,-0.06653673,-0.359375,-0.359999999999999,0.099999999999994,0,0,0,96,765
4.1,0,1.09,0.03288597,-0.620000000000001,0,1.02,0,-0.05684939,0.9453125,0.949999999999999,0.599999999999994,0,0,0,94,766
4.1,0,1.16499999999999,0.035307805000001,-0.5,0,0.039999999999999,0,-0.05073107,0.078125,0.079999999999998,0,0,0,0,92,767
4.1,0,1.36000000000001,0.022051445,0.220000000000001,0,-0.530000000000001,0,0.02090426,-0.625,-0.620000000000001,-0.599999999999994,0,0,13.7254901945,91,768
3.3,0,1.095,0.0331409,0.18,0,-0.010000000000002,0,0.03645499,-0.09375,-0.100000000000001,0.199999999999989,0,0,15.686274508,91,769
2.3,0,0.504999999999995,0.014658475,0.15,0,-0.640000000000001,0,0.037857105,-0.6484375,-0.649999999999999,0,0,0,16.8627450961,92,770
2.5,0,0.740000000000009,0.016442985,-0.109999999999999,0,0.34,0,0.04002401,0.3359375,0.329999999999998,0.099999999999994,0,0,16.8627450961,92,771
2.2,4,0.504999999999995,0.02957188,0.1,0,-0.260000000000002,0,0.04155359,-0.2890625,-0.289999999999999,0.5,0,0,18.8235294096,92,772
2.5,0,0.610000000000014,0.028424695,-0.109999999999999,0,-0.620000000000001,0,0.047289515,-0.5078125,-0.5,-0.199999999999989,0,0,18.8235294096,93,773
2.6,0,0.875,0.020521865,0,0,0.120000000000001,0,0.03670992,0.171875,0.170000000000002,0.300000000000011,0,0,15.686274508,93,774
2.6,0,0.89500000000001,0.03339583,-0.140000000000001,0,0.100000000000001,0,0.017717635,0.125,0.129999999999999,0.199999999999989,0,0,12.9411764691,93,775
2.7,0,0.814999999999998,0.026130325,-0.290000000000001,0,0.329999999999998,0,0.012619035,0.328125,0.329999999999998,0.099999999999994,0,0,10.9803921556,92,776
3.8,0,1.005,0.038366965,-0.25,0,0.350000000000001,0,0.01351129,0.3828125,0.379999999999999,0,0,0,12.9411764691,92,777
4,0,1.11000000000001,0.03543527,-0.16,0,0.48,0,0.0229437,0.5078125,0.510000000000002,0,0,0,14.9019607826,91,778
3.1,0,0.995000000000004,0.03441555,0.119999999999999,0,-0.100000000000001,0,0.03951415,-0.2890625,-0.289999999999999,0.300000000000011,0,0,17.6470588215,91,779
3.3,0,1.02500000000001,0.03543527,-0.08,0,0.109999999999999,0,0.0152958,0.125,0.120000000000001,0,0,0,12.9411764691,91,780
2.5,4,0.990000000000009,0.02829723,-0.24,0,-1.2,0,0.00866762,-1.2109375,-1.21,-1,0,0,8.6274509794,90,781
2.1,0,0.574999999999989,0.01096199,0.02,0,-0.649999999999999,0,0.031228925,-0.671875,-0.670000000000002,-0.099999999999994,0,0,15.686274508,90,782
3.1,0,0.974999999999994,0.034288085,0.24,0,-0.359999999999999,0,0.04257331,-0.1484375,-0.149999999999999,-0.900000000000006,0,0,17.6470588215,90,783
2.5,0,0.754999999999995,0.02829723,0.34,0,0.109999999999999,0,0.063859965,0.140625,0.140000000000001,0.400000000000006,0,0,21.9607843112,91,784
4.1,0,1.20500000000001,0.05022121,0.07,0,0.390000000000001,0,0.042445845,0.40625,0.41,0.099999999999994,0,0,17.6470588215,91,785
4.1,0,1.23500000000001,0.04512261,0.379999999999999,0,0.23,0,0.08820578,0.2109375,0.210000000000001,-0.099999999999994,0,0,27.8431372517,93,786
2.7,0,1.05000000000001,0.027659905,0.48,0,-0.300000000000001,0,0.07520435,-0.3046875,-0.300000000000001,0.300000000000011,0,0,31.7647058787,95,787
2.7,0,0.715000000000003,-0.009814805,0.459999999999999,0,-0.760000000000002,0,0.0841269,-0.8046875,-0.800000000000001,-0.199999999999989,0,0,26.6666666636,97,788
2.8,0,0.955000000000012,0.03900429,0.359999999999999,0,0.039999999999999,0,0.057231785,0.0390625,0.039999999999999,-0.099999999999994,0,0,24.7058823501,98,789
2.9,0,0.965000000000003,0.035817665,0.4,0,-0.030000000000001,0,0.078136045,-0.015625,-0.02,0,0,0,27.8431372517,99,790
2.3,4,0.509999999999991,0.01198171,0.379999999999999,0,0.09,0,0.04665219,0.09375,0.09,0.800000000000011,0,0,21.9607843112,101,791
2.9,0,1.08500000000001,0.047799375,0.32,0,0.329999999999998,0,0.04563247,0.3203125,0.32,0,0,0,20.7843137231,102,792
3,0,1.05500000000001,0.04614233,-0.1,0,0.41,0,-0.00076479,0.40625,0.41,0.099999999999994,0,0,9.8039215675,102,793
2.9,0,1.005,0.034288085,-0.43,0,0.379999999999999,0,0.00152958,0.3515625,0.350000000000001,0.099999999999994,0,0,9.8039215675,101,794
3,0,0.724999999999994,0.028679625,-0.300000000000001,0,0.399999999999999,0,0.01810003,0.3828125,0.379999999999999,0,0,0,9.8039215675,99,795
4.6,0,1.25,0.05965362,-0.31,0,0.510000000000002,0,0.006245785,0.5859375,0.579999999999998,-0.099999999999994,0,0,9.8039215675,98,796
4.5,0,1.13499999999999,0.041426125,-0.300000000000001,0,0.620000000000001,0,-0.003696485,0.6328125,0.640000000000001,0.199999999999989,0,0,7.843137254,98,797
4.5,0,1.315,0.059143760000001,-0.220000000000001,0,0.620000000000001,0,0.00535353,0.6484375,0.640000000000001,0.199999999999989,0,0,10.9803921556,97,798
3.5,0,0.930000000000007,0.049583885,-0.1,0,0.359999999999999,0,-0.004971135,0.359375,0.359999999999999,0.300000000000011,0,0,10.9803921556,97,799
3.5,0,0.889999999999986,0.04563247,-0.050000000000001,0,0.309999999999999,0,0.03008174,0.296875,0.300000000000001,0,0,0,16.8627450961,97,800
3.4,0,0.710000000000008,0.043465565,0.299999999999999,0,-0.16,0,0.049583885,-0.0859375,-0.09,-0.300000000000011,0,0,20.7843137231,98,801
1,0,-0.205000000000012,0.00280423,0.35,0,-0.48,0,0.063859965,-0.8515625,-0.850000000000001,0.099999999999994,0,0,24.7058823501,99,802
1.9,0,0.235000000000014,0.022816235,0.16,0,0.379999999999999,0,0.04665219,0.3515625,0.350000000000001,0.099999999999994,0,0,18.8235294096,100,803
1.7,0,-0.009999999999991,0.029954275,0.529999999999999,0,-0.649999999999999,0,0.06296771,-0.6328125,-0.629999999999999,-0.099999999999994,0,0,25.8823529382,101,804
-0.2,0,-0.835000000000008,-0.006245785,0.24,0,-0.59,0,0.040916265,-0.6484375,-0.649999999999999,-0.099999999999994,0,0,20.7843137231,102,805
2.3,0,-0.215000000000003,0.03518034,0.140000000000001,0,0.309999999999999,0,0.043720495,0.09375,0.09,1.5,0,0,20.7843137231,103,806
2.4,8,0.194999999999993,0.06679166,0.299999999999999,0,-1.3,0,0.0152958,-1.25,-1.25,-0.099999999999994,0,0,17.6470588215,104,807
-0.3,0,-0.935000000000002,0.000892255,0.19,0,-2.09,0,0.05531981,-2.046875,-2.05,-2.30000000000001,0,0,24.7058823501,104,808
-0.5,4,-1.25,-0.029954275,0.08,0,-1.18,0,0.043465565,-1.2421875,-1.24,-0.400000000000006,0,0,22.7450980366,105,809
0,0,-0.840000000000003,0.01631552,0.24,0,-1.42,0,0.034288085,-1.34375,-1.34,-0.599999999999994,0,0,20.7843137231,106,810
0,0,-0.85499999999999,0.004461275,-0.060000000000001,0,-0.719999999999999,0,0.03033667,-0.7734375,-0.77,-0.5,0,0,19.607843135,106,811
0.3,0,-0.555000000000007,0.01300143,0.27,0,-0.649999999999999,0,0.05404516,-0.65625,-0.66,-0.300000000000011,0,0,23.9215686247,107,812
0.1,0,-0.629999999999995,0.014403545,0.26,0,-1.31,0,0.044485285,-1.296875,-1.29,-1.09999999999999,0,0,21.9607843112,108,813
0.1,0,-0.810000000000002,-0.004461275,0.07,0,-1.1,0,0.03696485,-1.09375,-1.09,-0.900000000000006,0,0,19.607843135,108,814
0.1,0,-0.620000000000004,0.01478594,0.629999999999999,0,-1.25,0,0.08540155,-1.2421875,-1.24,-1,0,0,32.9411764668,110,815
0,0,-0.740000000000009,0.003441555,0.15,0,-1.72,0,0.04665219,-1.75,-1.75,-2,0,0,26.6666666636,111,816
-0.5,0,-1.065,-0.006755645,0.16,0,-1.16,0,0.05251558,-1.1953125,-1.19,-0.900000000000006,0,0,27.8431372517,111,817
0,0,-0.715000000000003,0.008540155,0.4,0,-0.949999999999999,0,0.06551701,-0.921875,-0.920000000000002,-0.400000000000006,0,0,27.8431372517,112,818
0,0,-0.844999999999999,0.006245785,0.16,0,-1.05,0,0.03161132,-1.109375,-1.11,-0.400000000000006,0,0,23.9215686247,113,819
1,4,-0.384999999999991,0.031738785,0.33,0,0.16,0,0.061310665,0.1640625,0.16,0.199999999999989,0,0,27.8431372517,113,820
-0.1,0,-1.13,0.00535353,-0.18,0,-1.37,0,0.034033155,-1.3671875,-1.36,-1.19999999999999,0,0,24.7058823501,114,821
0,0,-0.800000000000011,0.001402115,0.23,0,-1.57,0,0.044485285,-1.578125,-1.58,-1.90000000000001,0,0,24.7058823501,115,822
0,0,-0.814999999999998,0.00178451,0.07,0,-1.33,0,0.035052875,-1.328125,-1.32,-0.900000000000006,0,0,24.7058823501,115,823
-0.2,0,-0.914999999999992,0.00815776,0.039999999999999,0,-1.68,0,0.020521865,-1.6796875,-1.68,-1.69999999999999,0,0,20.7843137231,116,824
0.1,0,-0.544999999999988,0.004971135,-0.23,0,-1.2,0,0.02523807,-1.21875,-1.22,-0.800000000000011,0,0,17.6470588215,116,825
0.3,0,-1.16999999999999,-0.000892255,0.09,0,-0.27,0,0.029699345,-0.3125,-0.309999999999999,0.699999999999989,0,0,18.8235294096,115,826
0.9,0,-0.27000000000001,0.036072595,0.039999999999999,0,-1.04,0,0.05226065,-0.609375,-0.609999999999999,-0.400000000000006,0,0,24.7058823501,116,827
0,0,-0.824999999999989,0.001911975,0.359999999999999,0,-1.35,0,0.05965362,-1.3359375,-1.34,-0.900000000000006,0,0,27.8431372517,117,828
0,0,-0.939999999999998,-0.00458874,0.039999999999999,0,-1.08,0,0.030719065000001,-1.0859375,-1.08,-0.699999999999989,0,0,20.7843137231,117,829
0,0,-0.830000000000013,0.0076479,-0.01,0,-0.920000000000002,0,0.00866762,-0.921875,-0.920000000000002,-0.400000000000006,0,0,17.6470588215,117,830
0.3,0,-0.564999999999998,0.017462705,0.17,0,-0.73,0,0.0331409,-0.7578125,-0.760000000000002,-0.199999999999989,0,0,26.6666666636,117,831
0.1,0,-0.599999999999994,0.00305916,0.02,0,-1.45,0,0.0305916,-1.3203125,-1.32,-1.19999999999999,0,0,21.9607843112,118,832
0,0,-0.775000000000006,-0.002676765,0.369999999999999,0,-1.63,0,0.05379023,-1.53125,-1.53,-1.90000000000001,0,0,24.7058823501,118,833
-0.2,0,-0.949999999999989,-0.00076479,-0.060000000000001,0,-0.879999999999999,0,0.008795085,-1.0078125,-1.01,-0.199999999999989,0,0,19.607843135,118,834
0.1,0,-0.775000000000006,0.01121692,0.390000000000001,0,-1.23,0,0.031738785,-1.140625,-1.14,-0.800000000000011,0,0,22.7450980366,119,835
0.2,0,-0.909999999999997,0.00356902,0.16,0,-0.579999999999998,0,0.035817665,-0.7890625,-0.789999999999999,-0.699999999999989,0,0,24.7058823501,119,836
0.3,0,-0.419999999999988,0.03237611,0.08,0,-1.12,0,0.029954275,-0.8984375,-0.899999999999999,-0.300000000000011,0,0,24.7058823501,120,837
0.1,0,-0.754999999999995,0.00943241,0.27,0,-1.07,0,0.040661335,-1.140625,-1.14,-0.900000000000006,0,0,27.8431372517,120,838
-0.2,0,-0.814999999999998,-0.025110605,0.32,0,-1.31,0,0.059016295,-1.203125,-1.2,-0.900000000000006,0,0,30.9803921533,121,839
-0.2,0,-0.930000000000007,-0.00815776,-0.07,0,-1.38,0,0.0280423,-1.375,-1.37,-1,0,0,23.9215686247,121,840
-0.5,0,-1.03999999999999,-0.00178451,0.140000000000001,0,-1.5,0,0.051368395,-1.4140625,-1.41,-1.80000000000001,0,0,27.8431372517,121,841
-0.8,0,-1.55500000000001,-0.054682485,-0.109999999999999,0,-1.57,0,0.014658475,-1.609375,-1.61,-1.40000000000001,0,0,20.7843137231,121,842
0,0,-0.724999999999994,0.002676765,-0.09,0,-0.670000000000002,0,0.014403545,-1.0078125,-1,-0.300000000000011,0,0,19.607843135,121,843
